assemble_time,cell_type,degree,num_cells,num_dofs,num_procs,parloop_time,problem,tsfc_mode
2.6770024498303733,cube,1,9362012,9523200,12,2.425548871358236,poisson,spectral
2.4314935207366943,cube,2,546875,4473071,12,2.1233890851338706,poisson,spectral
2.1717403332392373,cube,3,73710,2048200,12,1.8965495427449544,poisson,spectral
1.798178772131602,cube,4,15210,1010609,12,1.5648316144943237,poisson,spectral
1.6892171104749043,cube,5,4368,570636,12,1.4074629942576091,poisson,spectral
1.5425008138020833,cube,6,1444,330625,12,1.291074772675832,poisson,spectral
1.6434173981348674,cube,7,585,214544,12,1.3261764645576477,poisson,spectral
2.480529169241587,cube,1,18746064,19001853,12,2.1463587880134583,mass_gll,spectral
1.352404038111369,cube,2,1095120,8915179,12,1.0526952346165974,mass_gll,spectral
0.9315822521845499,cube,3,147177,4065040,12,0.6684483488400778,mass_gll,spectral
0.683936874071757,cube,4,30576,2015113,12,0.45981953541437787,mass_gll,spectral
0.5586514870325724,cube,5,8448,1095766,12,0.36553982893625897,mass_gll,spectral
0.6809376080830892,cube,6,2904,654493,12,0.3474578062693278,mass_gll,spectral
0.4762793978055318,cube,7,1152,416179,12,0.29281705617904663,mass_gll,spectral
2.394468367099762,cube,1,9362012,9523200,12,2.1986919244130454,poisson_gll,spectral
1.0892214179039001,cube,2,546875,4473071,12,0.9130739768346151,poisson_gll,spectral
0.7729337016741434,cube,3,73710,2048200,12,0.6135010123252869,poisson_gll,spectral
0.5703898668289185,cube,4,15210,1010609,12,0.44391727447509766,poisson_gll,spectral
0.48945889870325726,cube,5,4368,570636,12,0.3553714354832967,poisson_gll,spectral
0.4418880542119344,cube,6,1444,330625,12,0.2945699691772461,poisson_gll,spectral
0.38515718777974445,cube,7,585,214544,12,0.26608163118362427,poisson_gll,spectral
3.3318388859430947,cube,1,938700,2921850,12,3.213515043258667,hyperelasticity,spectral
2.775765359401703,cube,2,54752,1378377,12,2.5391940474510193,hyperelasticity,spectral
1.8706883986790974,cube,3,7440,641550,12,1.7430100440979004,hyperelasticity,spectral
1.500102957089742,cube,4,1530,317331,12,1.352442999680837,hyperelasticity,spectral
1.5068325797716777,cube,5,429,177408,12,1.3850260178248088,hyperelasticity,spectral
1.4764488538106282,cube,6,144,105105,12,1.3356738090515137,hyperelasticity,spectral
1.631151556968689,cube,7,56,68400,12,1.3665605982144673,hyperelasticity,spectral
1.0125688513120015,cube,1,938700,2886257,12,0.9338651696840922,curl_curl,spectral
1.5240586797396343,cube,2,54752,1356666,12,1.392310082912445,curl_curl,spectral
1.221732497215271,cube,3,7440,628371,12,1.0585376421610515,curl_curl,spectral
1.2459501226743062,cube,4,1530,309312,12,1.0184463262557983,curl_curl,spectral
1.2086293299992878,cube,5,429,171760,12,0.9814937313397726,curl_curl,spectral
1.2951078017552693,cube,6,144,101058,12,1.0174514253934224,curl_curl,spectral
1.3318222562472026,cube,7,56,64694,12,1.0058177908261616,curl_curl,spectral
3.9937631289164224,cube,1,9362012,9523200,12,3.716596762339274,poisson,coffee
3.545856157938639,cube,2,546875,4473071,12,3.2679083943367004,poisson,coffee
5.091965774695079,cube,3,73710,2048200,12,4.67116916179657,poisson,coffee
5.329956074555715,cube,4,15210,1010609,12,5.072523872057597,poisson,coffee
8.36265516281128,cube,5,4368,570636,12,8.078951478004456,poisson,coffee
11.961533764998117,cube,6,1444,330625,12,11.445946176846823,poisson,coffee
23.11868143081665,cube,7,585,214544,12,21.471708337465923,poisson,coffee
3.340346336364746,cube,1,18746064,19001853,12,2.977711319923401,mass_gll,coffee
2.6680006980895996,cube,2,1095120,8915179,12,2.3320558667182922,mass_gll,coffee
9.674989541371664,cube,3,147177,4065040,12,9.429491460323334,mass_gll,coffee
4.992611904939015,cube,4,30576,2015113,12,4.729921062787374,mass_gll,coffee
7.676254113515218,cube,5,8448,1095766,12,7.434320072333018,mass_gll,coffee
10.698291420936584,cube,6,2904,654493,12,10.331826428572336,mass_gll,coffee
23.397812366485596,cube,7,1152,416179,12,22.956740697224934,mass_gll,coffee
3.471292515595754,cube,1,9362012,9523200,12,3.277503410975138,poisson_gll,coffee
