assemble_time,cell_type,degree,num_cells,num_dofs,num_procs,parloop_time,problem,tsfc_mode
3.021945377190908,simplex,1,4691126,14378940,12,2.6310293873151145,stokes_momentum,spectral
2.1507059931755066,simplex,2,274400,6771087,12,1.7456347942352295,stokes_momentum,spectral
1.640705406665802,simplex,3,36414,3059364,12,1.302105685075124,stokes_momentum,spectral
1.4014937082926433,simplex,4,7680,1545291,12,1.0568984548250835,stokes_momentum,spectral
1.3954167763392131,simplex,1,938700,2921850,12,1.226963460445404,elasticity,spectral
1.0095815062522888,simplex,2,54752,1378377,12,0.8610222339630127,elasticity,spectral
0.8784517248471578,simplex,3,7440,641550,12,0.7688020865122477,elasticity,spectral
0.7868253191312155,simplex,4,1530,317331,12,0.684949000676473,elasticity,spectral
2.6770024498303733,cube,1,9362012,9523200,12,2.425548871358236,poisson,spectral
2.4314935207366943,cube,2,546875,4473071,12,2.1233890851338706,poisson,spectral
2.1717403332392373,cube,3,73710,2048200,12,1.8965495427449544,poisson,spectral
1.798178772131602,cube,4,15210,1010609,12,1.5648316144943237,poisson,spectral
1.6892171104749043,cube,5,4368,570636,12,1.4074629942576091,poisson,spectral
1.5425008138020833,cube,6,1444,330625,12,1.291074772675832,poisson,spectral
1.6434173981348674,cube,7,585,214544,12,1.3261764645576477,poisson,spectral
2.480529169241587,cube,1,18746064,19001853,12,2.1463587880134583,mass_gll,spectral
1.352404038111369,cube,2,1095120,8915179,12,1.0526952346165974,mass_gll,spectral
0.9315822521845499,cube,3,147177,4065040,12,0.6684483488400778,mass_gll,spectral
0.683936874071757,cube,4,30576,2015113,12,0.45981953541437787,mass_gll,spectral
0.5586514870325724,cube,5,8448,1095766,12,0.36553982893625897,mass_gll,spectral
0.6809376080830892,cube,6,2904,654493,12,0.3474578062693278,mass_gll,spectral
0.4762793978055318,cube,7,1152,416179,12,0.29281705617904663,mass_gll,spectral
2.394468367099762,cube,1,9362012,9523200,12,2.1986919244130454,poisson_gll,spectral
1.0892214179039001,cube,2,546875,4473071,12,0.9130739768346151,poisson_gll,spectral
0.7729337016741434,cube,3,73710,2048200,12,0.6135010123252869,poisson_gll,spectral
0.5703898668289185,cube,4,15210,1010609,12,0.44391727447509766,poisson_gll,spectral
0.48945889870325726,cube,5,4368,570636,12,0.3553714354832967,poisson_gll,spectral
0.4418880542119344,cube,6,1444,330625,12,0.2945699691772461,poisson_gll,spectral
0.38515718777974445,cube,7,585,214544,12,0.26608163118362427,poisson_gll,spectral
3.3318388859430947,cube,1,938700,2921850,12,3.213515043258667,hyperelasticity,spectral
2.775765359401703,cube,2,54752,1378377,12,2.5391940474510193,hyperelasticity,spectral
1.8706883986790974,cube,3,7440,641550,12,1.7430100440979004,hyperelasticity,spectral
1.500102957089742,cube,4,1530,317331,12,1.352442999680837,hyperelasticity,spectral
1.5068325797716777,cube,5,429,177408,12,1.3850260178248088,hyperelasticity,spectral
1.4764488538106282,cube,6,144,105105,12,1.3356738090515137,hyperelasticity,spectral
1.631151556968689,cube,7,56,68400,12,1.3665605982144673,hyperelasticity,spectral
1.0125688513120015,cube,1,938700,2886257,12,0.9338651696840922,curl_curl,spectral
1.5240586797396343,cube,2,54752,1356666,12,1.392310082912445,curl_curl,spectral
1.221732497215271,cube,3,7440,628371,12,1.0585376421610515,curl_curl,spectral
1.2459501226743062,cube,4,1530,309312,12,1.0184463262557983,curl_curl,spectral
1.2086293299992878,cube,5,429,171760,12,0.9814937313397726,curl_curl,spectral
1.2951078017552693,cube,6,144,101058,12,1.0174514253934224,curl_curl,spectral
1.3318222562472026,cube,7,56,64694,12,1.0058177908261616,curl_curl,spectral
