cell_type,degree,matmult_time,num_cells,num_dofs,num_procs,parloop_time,problem,tsfc_mode
cube,1,1.3022595010697842,99943096,100759140,16,1.276819758117199,poisson,spectral
cube,2,1.202284599095583,19738290,159013785,16,1.1550693336874247,poisson,spectral
cube,3,1.1297484274953604,6245588,169787200,16,1.0673846159130336,poisson,spectral
cube,4,1.306363870203495,2554524,164624229,16,1.2644992034882307,poisson,spectral
cube,5,1.1632450822740794,1235304,155510376,16,1.1158587839454412,poisson,spectral
cube,6,0.930523294210434,666366,144985225,16,0.8983266394585371,poisson,spectral
cube,7,1.0649384934455157,390224,134837676,16,1.0349936913698912,poisson,spectral
cube,8,1.1289857365190983,244800,126302481,16,1.098678509518504,poisson,spectral
cube,9,1.099340119585395,160776,118125280,16,1.080801920220256,poisson,spectral
cube,10,1.0927295934408903,109494,110384841,16,1.074910944327712,poisson,spectral
cube,11,0.9716506049036979,77280,103714920,16,0.9506353892385959,poisson,spectral
cube,12,1.0579796273261308,55815,97249309,16,1.0425114665180444,poisson,spectral
cube,13,1.0502891082316637,41496,91956060,16,1.0322568390518427,poisson,spectral
cube,14,1.1232125289738177,31824,88088715,16,1.105958466976881,poisson,spectral
cube,15,1.399759903177619,24299,82740376,16,1.3855756808072328,poisson,spectral
cube,1,1.3244203884154557,10000080,30530430,16,1.3191969595849513,hyperelasticity,spectral
cube,2,1.2050165746361017,1979600,48234285,16,1.1939501691609622,hyperelasticity,spectral
cube,3,1.7310995299369096,623898,51294000,16,1.7226703573018312,hyperelasticity,spectral
cube,4,2.230206920206547,255025,49699575,16,2.2207218378782274,hyperelasticity,spectral
cube,5,2.145875138416886,123120,46888128,16,2.137152475491166,hyperelasticity,spectral
cube,6,2.175543875992298,66560,43805685,16,2.1667218331247566,hyperelasticity,spectral
cube,7,1.548183649033308,39312,41109372,16,1.5420728404074908,hyperelasticity,spectral
cube,8,1.900970234721899,24299,37948443,16,1.894576833024621,hyperelasticity,spectral
cube,9,1.7940839573740959,16000,35577633,16,1.7858778711408376,hyperelasticity,spectral
cube,10,1.687238873541355,10944,33422463,16,1.681416293233633,hyperelasticity,spectral
cube,11,1.6498395845293998,7623,31004064,16,1.6441657844930888,hyperelasticity,spectral
cube,12,1.7079446494579316,5684,29991315,16,1.7031334426254034,hyperelasticity,spectral
cube,13,1.7952941797673703,4212,28280736,16,1.7906443245708943,hyperelasticity,spectral
cube,14,1.739060351997614,3125,26241813,16,1.7350177727639675,hyperelasticity,spectral
cube,15,1.4171972196549176,2420,24979908,16,1.4136167526245118,hyperelasticity,spectral
cube,1,1.421373301371932,30016305,90781144,16,1.4008180633187295,curl_curl,spectral
cube,2,1.463369032740593,5929920,143315842,16,1.418504549190402,curl_curl,spectral
cube,3,1.2410512372851372,1872288,152700045,16,1.2096616119146346,curl_curl,spectral
cube,4,1.3928845539689063,767376,148356000,16,1.3506783958524466,curl_curl,spectral
cube,5,1.2498214695602656,370300,139847040,16,1.2243811968713998,curl_curl,spectral
cube,6,1.1646365258842706,198927,129836694,16,1.1386680856347084,curl_curl,spectral
cube,7,0.987073403596878,117078,121370704,16,0.9617269933223724,curl_curl,spectral
cube,8,1.192122806981206,72896,112829112,16,1.172077063843608,curl_curl,spectral
cube,9,1.1634315866976976,47908,105595695,16,1.1419416967779399,curl_curl,spectral
cube,10,1.1176679454743863,33072,100020370,16,1.091958512365818,curl_curl,spectral
cube,11,1.063171496987343,23265,93655012,16,1.0427415177226067,curl_curl,spectral
cube,12,1.1933590214699508,16800,87812304,16,1.1781687404960395,curl_curl,spectral
cube,13,1.0597261317074298,12654,84106984,16,1.0450448993593455,curl_curl,spectral
cube,14,1.1575505062937737,9520,79052582,16,1.143503115326166,curl_curl,spectral
cube,15,1.3524872541427613,7392,75525030,16,1.3411644253879786,curl_curl,spectral
cube,1,0.5227363970130682,40024800,40469520,16,0.50937509983778,poisson,spectral
cube,2,0.49513743445277214,7913588,63910845,16,0.4825942873954773,poisson,spectral
cube,3,0.45051601640880107,2495717,68016640,16,0.42980984747409823,poisson,spectral
cube,4,0.5361031949520111,1024000,66151841,16,0.5184877760708332,poisson,spectral
cube,5,0.4743883483111858,492156,62113116,16,0.4612605109810829,poisson,spectral
